Year,TWDBSurveyNo,PermitHolder,Latitude,Longitude,SourceType,UseType,SS_Pur,County,AquiferName,SurfaceWaterSource,SellerName,NAICS,Saline,Estimated,Volume,RelatedtoCOG
1990,220400,CITY OF DELL CITY,NA,NA,Groundwater,Municipal,SS,HUDSPETH,BONE SPRING-VICTORIO PEAK AQUIFER,NA,NA,NA,NA,NA,11354900,No
1996,384400,HERMLEIGH WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,SCURRY,DOCKUM AQUIFER,NA,NA,NA,NA,NA,11354500,No
2002,384400,HERMLEIGH WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,SCURRY,DOCKUM AQUIFER,NA,NA,NA,NA,NA,11344900,No
1987,186600,ALON USA,NA,NA,Surface,Industrial,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,CITY OF BIG SPRING-GENERAL DISTRIBUTION SYSTEM,324110,No,No,11342000,No
1987,656570,KEY ENERGY SERVICES INC-ODESSA STATION,NA,NA,Groundwater,Industrial,SS,ECTOR,PECOS AQUIFER,NA,NA,211112,No,No,11335526,Maybe
1988,610710,NORTH UNIVERSITY ESTATES,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11335000,No
1999,835560,ADM ALLIANCE NUTRITION INC-DIV  ARCHER DANIELS MIDLAND,NA,NA,Surface,Industrial,Pur,COKE,NA,OAK CREEK LAKE/RESERVOIR,CITY OF SWEETWATER,311224,No,No,11325000,No
2004,673810,FRONTIER FERTILIZER & CHM COMPANY LLC,NA,NA,Groundwater,Industrial,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,325312,No,No,11319000,No
2002,871252,CITY OF TOYAH,NA,NA,Surface,Municipal,Pur,REEVES,NA,T & P RAILROAD LAKE/RESERVOIR,CITY OF BALMORHEA,NA,NA,NA,11304000,No
2015,10850,AIRLINE MHP,31.9482231,-102.1729507,Groundwater,Municipal,SS,MIDLAND,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,No,No,11303900,No
1988,538400,MARTIN COUNTY FWSD 1,NA,NA,Groundwater,Municipal,SS,MARTIN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11303600,No
2016,820160,CITY OF SPRINGLAKE,34.2329722,-102.3106833,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,No,No,11294000,No
1989,610710,NORTH UNIVERSITY ESTATES,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11287000,No
2002,535950,MAPLE WSC,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11286730,No
1980,847950,REGENCY ENERGY PARTNERS-SOUTH KERMIT PLANT,NA,NA,Groundwater,Industrial,SS,WINKLER,DOCKUM AQUIFER,NA,NA,211112,No,No,11284700,Maybe
1980,943500,VULCAN MATERIALS COMPANY-SOUTHWEST DIV,NA,NA,Surface,Industrial,Ss,UVALDE,NA,NUECES RUN OF RIVER,NA,212312,No,No,11280000,No
1981,943500,VULCAN MATERIALS COMPANY-SOUTHWEST DIV,NA,NA,Surface,Industrial,Ss,UVALDE,NA,NUECES RUN OF RIVER,NA,212312,No,No,11280000,No
1982,943500,VULCAN MATERIALS COMPANY-SOUTHWEST DIV,NA,NA,Surface,Industrial,Ss,UVALDE,NA,NUECES RUN OF RIVER,NA,212312,No,No,11280000,No
1983,943500,VULCAN MATERIALS COMPANY-SOUTHWEST DIV,NA,NA,Surface,Industrial,Ss,UVALDE,NA,NUECES RUN OF RIVER,NA,212312,No,No,11280000,No
1984,943500,VULCAN MATERIALS COMPANY-SOUTHWEST DIV,NA,NA,Surface,Industrial,Ss,UVALDE,NA,NUECES RUN OF RIVER,NA,212312,No,No,11280000,No
1986,943500,VULCAN MATERIALS COMPANY-SOUTHWEST DIV,NA,NA,Surface,Industrial,Ss,UVALDE,NA,NUECES RUN OF RIVER,NA,212312,No,No,11280000,No
2017,512100,LOOP WSC,32.9228056,-102.4204194,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,No,No,11279815,No
2018,954400,CITY OF WOLFFORTH,33.4908142,-102.0087204,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,No,No,11276000,No
1985,99200,CITY OF BROWNFIELD,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11275700,No
2005,628900,ORCHARD WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,11266300,No
1996,345854,GUADALUPE MOUNTAINS NATIONAL PARK,NA,NA,Groundwater,Municipal,SS,CULBERSON,WEST TEXAS BOLSON AQUIFER,NA,NA,NA,NA,NA,11253124,No
2008,177980,SMITH MANAGEMENT SERVICES-TOWN VILLAGE NORTH AND SOUTH,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11249000,No
1997,524000,MADERA VALLEY WSC-JEFF DAVIS COUNTY WELL FIELD,NA,NA,Surface,Municipal,Pur,REEVES,NA,BALMORHEA LAKE/RESERVOIR,CITY OF TOYAH,NA,NA,NA,11248000,No
1984,78900,BLEDSOE WSC,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11246327,No
2015,861315,TEXASTONE QUARRIES,NA,NA,Groundwater,Industrial,SS,GLASSCOCK,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,327991,No,No,11245741,No
2018,733000,CITY OF ROARING SPRINGS,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11229000,No
1981,535950,MAPLE WSC,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11222200,No
2002,703800,CITY OF PYOTE,NA,NA,Groundwater,Municipal,Pur,WARD,PECOS AQUIFER,NA,WARD COUNTY FIELD,NA,NA,NA,11210400,No
1980,923302,WEIRICH BROTHERS INC-KIMBLE COUNTY PLANT,NA,NA,Surface,Industrial,Ss,KIMBLE,NA,COLORADO RUN OF RIVER,NA,327320,No,No,11205000,No
2001,703800,CITY OF PYOTE,NA,NA,Groundwater,Municipal,Pur,WARD,PECOS AQUIFER,NA,WARD COUNTY FIELD,NA,NA,NA,11204900,No
1996,322940,TEXACO EXPLORATION & PRODUCTION,NA,NA,Groundwater,Industrial,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,211130,No,No,11197391,Yes
2003,656565,KEY ENERGY SERVICES INC-LAMESA BRINE STATION,NA,NA,Groundwater,Industrial,SS,DAWSON,OGALLALA AQUIFER,NA,NA,213112,No,No,11195322,Yes
1995,917680,WARD RURAL WSC,NA,NA,Groundwater,Municipal,Pur,REEVES,PECOS AQUIFER,NA,CITY OF BARSTOW,NA,NA,NA,11190606,No
1997,667600,GPM GAS CORPORATION-ANDREWS BOOSTER GPOD,NA,NA,Groundwater,Industrial,SS,ANDREWS,OGALLALA AQUIFER,NA,NA,211130,No,No,11188600,Yes
1981,536290,MARATHON WATER & SEWER SERVICE CORPORATION,NA,NA,Groundwater,Municipal,SS,BREWSTER,MARATHON AQUIFER,NA,NA,NA,NA,NA,11181343,No
1984,769700,SAN PEDRO CANYON WATER COMPANY INC,NA,NA,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,11178580,No
1982,164704,COKE COUNTY WSC,NA,NA,Surface,Municipal,Pur,COKE,NA,MOUNTAIN CREEK LAKE/RESERVOIR - COLORADO,CITY OF ROBERT LEE,NA,NA,NA,11174000,No
2017,164704,COKE COUNTY WSC,NA,NA,Surface,Municipal,Pur,COKE,NA,E V SPENCE LAKE/RESERVOIR,CITY OF ROBERT LEE,NA,NA,NA,11164000,No
1985,602700,CITY OF NEW HOME,NA,NA,Groundwater,Municipal,SS,LYNN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11159000,No
2001,924800,WELLMAN WSC,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11157900,No
1988,924800,WELLMAN WSC,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11157200,No
1984,700650,PRIDE REFINING INC,NA,NA,Surface,Industrial,Pur,JONES,NA,FORT PHANTOM HILL LAKE/RESERVOIR,HAWLEY WSC,324110,No,No,11152200,No
1986,924800,WELLMAN WSC,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11142100,No
1981,263850,AMERICAN PIPELINE COMPANY-SANTA ROSA PLANT,NA,NA,Groundwater,Industrial,SS,PECOS,PECOS AQUIFER,NA,NA,211112,No,No,11140560,Maybe
1985,78900,BLEDSOE WSC,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11130968,No
2013,809935,SOUTHWEST GARDEN WATER,33.4608345,-101.9388885,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,No,No,11124000,No
1996,364500,HALFWAY WSC,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11114000,No
2012,602700,CITY OF NEW HOME,33.3256607,-101.9082108,Groundwater,Municipal,SS,LYNN,OGALLALA AQUIFER,NA,NA,NA,No,No,11110900,No
1987,220400,CITY OF DELL CITY,NA,NA,Groundwater,Municipal,SS,HUDSPETH,BONE SPRING-VICTORIO PEAK AQUIFER,NA,NA,NA,NA,NA,11109987,No
1989,389297,HIGHWAY 117 WSC,NA,NA,Groundwater,Municipal,Pur,UVALDE,EDWARDS-BFZ AQUIFER,NA,CITY OF UVALDE,NA,NA,NA,11103000,No
1997,823400,CITY OF STANTON,NA,NA,Groundwater,Municipal,SS,MARTIN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11100000,No
2007,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2008,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2009,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2010,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2011,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2012,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2013,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2014,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2015,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2016,288400,FLOMOT WSC,NA,NA,Groundwater,Municipal,SS,MOTLEY,SEYMOUR AQUIFER,NA,NA,NA,NA,NA,11078800,No
2000,924800,WELLMAN WSC,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11076100,No
1985,656565,KEY ENERGY SERVICES INC-LAMESA BRINE STATION,NA,NA,Groundwater,Industrial,SS,DAWSON,OGALLALA AQUIFER,NA,NA,211112,No,No,11072796,Maybe
1992,924800,WELLMAN WSC,NA,NA,Groundwater,Municipal,SS,TERRY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11070800,No
1993,384400,HERMLEIGH WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,SCURRY,DOCKUM AQUIFER,NA,NA,NA,NA,NA,11067600,No
2014,174400,COMANCHE HARBOR,NA,NA,Surface,Municipal,Pur,HOCKLEY,NA,BOB SANDLIN LAKE/RESERVOIR,ACTON MUD,NA,NA,NA,11065000,No
1989,927695,CITY OF WESTBROOK,NA,NA,Surface,Municipal,Pur,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,WESTBROOK ISD,NA,NA,NA,11052700,No
1984,421500,SID RICHARDSON CARBON  & ENERGY COMPANY-MI VIDA PLANT,NA,NA,Groundwater,Industrial,Pur,REEVES,PECOS AQUIFER,NA,WARD RURAL WSC,211112,No,No,11051688,Maybe
2016,10850,AIRLINE MHP,31.9482231,-102.1729507,Groundwater,Municipal,SS,MIDLAND,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,No,No,11048600,No
1995,8000,ACKERLY WSC,NA,NA,Groundwater,Municipal,SS,DAWSON,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11044170,No
1987,177980,SMITH MANAGEMENT SERVICES-TOWN VILLAGE NORTH AND SOUTH,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11038000,No
1989,886880,UNION OIL COMPANY OF CALIFORNIA-DOLLARHIDE UNIT,NA,NA,Groundwater,Industrial,SS,ANDREWS,PECOS AQUIFER,NA,NA,211112,No,No,11035000,Maybe
2000,656571,KEY ENERGY SERVICES INC-STANTON BRINE STATION,NA,NA,Groundwater,Industrial,SS,MARTIN,OGALLALA AQUIFER,NA,NA,213112,No,No,11034858,Yes
2005,656591,NIBLETTS OILFIELD SERVICES-OZONA BRINE STATION\MIDWAY,NA,NA,Groundwater,Industrial,SS,CROCKETT,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,213112,No,No,11031510,Yes
2010,262800,EL PASO NATURAL GAS COMPANY-KEYSTONE MAIN LINE STATION,NA,NA,Groundwater,Industrial,SS,WINKLER,DOCKUM AQUIFER,NA,NA,221210,No,No,11030300,No
1982,78900,BLEDSOE WSC,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11030091,No
2015,927695,CITY OF WESTBROOK,NA,NA,Surface,Municipal,Pur,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,MITCHELL COUNTY UTILITY COMPANY,NA,NA,NA,11028000,No
1986,628900,ORCHARD WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,11025000,No
1994,917680,WARD RURAL WSC,NA,NA,Groundwater,Municipal,Pur,REEVES,PECOS AQUIFER,NA,CITY OF BARSTOW,NA,NA,NA,11021947,No
1990,820160,CITY OF SPRINGLAKE,NA,NA,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11017000,No
2001,384400,HERMLEIGH WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,SCURRY,DOCKUM AQUIFER,NA,NA,NA,NA,NA,11016900,No
1986,177980,SMITH MANAGEMENT SERVICES-TOWN VILLAGE NORTH AND SOUTH,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,11013000,No
1993,917680,WARD RURAL WSC,NA,NA,Groundwater,Municipal,Pur,REEVES,PECOS AQUIFER,NA,CITY OF BARSTOW,NA,NA,NA,11010600,No
1997,389297,HIGHWAY 117 WSC,NA,NA,Groundwater,Municipal,Pur,UVALDE,EDWARDS-BFZ AQUIFER,NA,CITY OF UVALDE,NA,NA,NA,11010000,No
2017,507000,CITY OF LOCKNEY,NA,NA,Surface,Municipal,Pur,FLOYD,NA,MACKENZIE LAKE/RESERVOIR,MACKENZIE MUNICIPAL WATER AUTHORITY,NA,NA,NA,11006080,No
2011,177882,CONCHO RURAL WATER CORPORATION-DEER VALLEY ESTATES SYSTEM,31.593113,-100.6564178,Groundwater,Municipal,SS,TOM GREEN,LIPAN AQUIFER,NA,NA,NA,No,No,11004100,No
1988,467450,KIRBY WEST,NA,NA,Groundwater,Industrial,Pur,ANDREWS,OGALLALA AQUIFER,NA,CITY OF ANDREWS,335212,No,No,11000000,No
2018,518002,LUBBOCK POWER & LIGHT-TY COOKE GENERATION STATION,NA,NA,Groundwater,Industrial,Pur,BAILEY,OGALLALA AQUIFER,NA,CITY OF LUBBOCK-WATER TREATMENT PLANT,221112,Yes,No,11000000,No
1987,943500,VULCAN MATERIALS COMPANY-SOUTHWEST DIV,NA,NA,Surface,Industrial,Ss,UVALDE,NA,NUECES RUN OF RIVER,NA,212312,No,No,11000000,No
1987,610710,NORTH UNIVERSITY ESTATES,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10996000,No
1982,927695,CITY OF WESTBROOK,NA,NA,Surface,Municipal,Pur,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,WESTBROOK ISD,NA,NA,NA,10987100,No
1981,639550,GRAYDEN INDUSTRIES INC,NA,NA,Groundwater,Industrial,SS,KIMBLE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,325191,No,No,10981179,No
1989,20350,AMERDA HESS CORPORATION,NA,NA,Groundwater,Industrial,SS,TERRY,OGALLALA AQUIFER,NA,NA,211112,No,No,10981100,Maybe
2012,809935,SOUTHWEST GARDEN WATER,33.4608345,-101.9388885,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,No,No,10978000,No
1986,927695,CITY OF WESTBROOK,NA,NA,Surface,Municipal,Pur,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,WESTBROOK ISD,NA,NA,NA,10973100,No
1986,467450,KIRBY WEST,NA,NA,Groundwater,Industrial,Pur,ANDREWS,OGALLALA AQUIFER,NA,CITY OF ANDREWS,335212,No,No,10972000,No
1987,467450,KIRBY WEST,NA,NA,Groundwater,Industrial,Pur,ANDREWS,OGALLALA AQUIFER,NA,CITY OF ANDREWS,335212,No,No,10972000,No
1994,477375,LA CALETA ESTATES,NA,NA,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,10963500,No
1994,78900,BLEDSOE WSC,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10958227,No
2015,769700,SAN PEDRO ESTATES WATER LLC-SAN PEDRO CANYON SUBDIVISION -UPPER,NA,NA,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,10958000,No
1997,24790,ALTURA ENERGY LTD-NORTH COWDEN PLANT,NA,NA,Groundwater,Industrial,SS,ECTOR,OGALLALA AQUIFER,NA,NA,211130,No,No,10956550,Yes
1991,538400,MARTIN COUNTY FWSD 1,NA,NA,Groundwater,Municipal,SS,MARTIN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10955840,No
1980,524000,MADERA VALLEY WSC-JEFF DAVIS COUNTY WELL FIELD,NA,NA,Surface,Municipal,Pur,REEVES,NA,BALMORHEA LAKE/RESERVOIR,CITY OF TOYAH,NA,NA,NA,10954000,No
1990,538400,MARTIN COUNTY FWSD 1,NA,NA,Groundwater,Municipal,SS,MARTIN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10953000,No
1988,220400,CITY OF DELL CITY,NA,NA,Groundwater,Municipal,SS,HUDSPETH,BONE SPRING-VICTORIO PEAK AQUIFER,NA,NA,NA,NA,NA,10948535,No
1993,364500,HALFWAY WSC,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10947500,No
1988,639550,GRAYDEN INDUSTRIES INC,NA,NA,Groundwater,Industrial,SS,KIMBLE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,325191,No,No,10938756,No
1998,830085,SUNNYDALE WSC,NA,NA,Groundwater,Municipal,Pur,LAMB,OGALLALA AQUIFER,NA,CITY OF LITTLEFIELD,NA,NA,NA,10936000,No
2012,930635,ATLAS PIPELINE-MIDKIFF PLANT,NA,NA,Groundwater,Industrial,Pur,GLASSCOCK,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,DAVENPORT WATER,211130,No,No,10934461,Yes
1992,313550,CITY OF GAIL,NA,NA,Groundwater,Municipal,SS,DAWSON,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10926000,No
1982,177980,SMITH MANAGEMENT SERVICES-TOWN VILLAGE NORTH AND SOUTH,NA,NA,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10925000,No
1998,78900,BLEDSOE WSC,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10924578,No
1997,569950,MILLERSVIEW DOOLE WSC,NA,NA,Surface,Municipal,Pur,TOM GREEN,NA,TWIN BUTTES LAKE/RESERVOIR,CITY OF SAN ANGELO,NA,NA,NA,10922000,No
1985,830085,SUNNYDALE WSC,NA,NA,Groundwater,Municipal,Pur,LAMB,OGALLALA AQUIFER,NA,CITY OF LITTLEFIELD,NA,NA,NA,10918000,No
2014,389297,HIGHWAY 117 WSC,NA,NA,Groundwater,Municipal,Pur,UVALDE,EDWARDS-BFZ AQUIFER,NA,CITY OF UVALDE,NA,NA,NA,10915000,No
1990,384400,HERMLEIGH WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,SCURRY,DOCKUM AQUIFER,NA,NA,NA,NA,NA,10913600,No
1999,53600,BARKSDALE WSC,NA,NA,Groundwater,Municipal,SS,EDWARDS,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,10912070,No
2001,53600,BARKSDALE WSC,NA,NA,Groundwater,Municipal,SS,EDWARDS,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,10912070,No
2015,8000,ACKERLY WATER WORKS-ACKERLY WSC,32.5475556,-101.7353611,Groundwater,Municipal,SS,DAWSON,OGALLALA AQUIFER,NA,NA,NA,No,No,10910093,No
2014,927695,CITY OF WESTBROOK,NA,NA,Surface,Municipal,Pur,MITCHELL,NA,COLORADO CITY LAKE/RESERVOIR,MITCHELL COUNTY UTILITY COMPANY,NA,NA,NA,10899600,No
1982,164260,COCA COLA BOTTLING COMPANY-PLAINVIEW PLANT,NA,NA,Groundwater,Industrial,Pur,HALE,OGALLALA AQUIFER,NA,CITY OF PLAINVIEW,312111,No,No,10897000,No
1983,78900,BLEDSOE WSC,NA,NA,Groundwater,Municipal,SS,COCHRAN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10894213,No
1984,538400,MARTIN COUNTY FWSD 1,NA,NA,Groundwater,Municipal,SS,MARTIN,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10893500,No
1992,800140,COYANOSA WATER SYSTEM,NA,NA,Groundwater,Municipal,Pur,PECOS,PECOS AQUIFER,NA,PECOS COUNTY WCID 1,NA,NA,NA,10888000,No
2006,384400,HERMLEIGH WATER SYSTEM,32.634285,-100.7599564,Groundwater,Municipal,SS,SCURRY,DOCKUM AQUIFER,NA,NA,NA,No,No,10882800,No
2001,364500,HALFWAY WSC,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10881600,No
2003,871252,CITY OF TOYAH,NA,NA,Surface,Municipal,Pur,REEVES,NA,T & P RAILROAD LAKE/RESERVOIR,CITY OF BALMORHEA,NA,NA,NA,10877000,No
2009,399405,HUBER GARDENS ESTATES,NA,NA,Groundwater,Municipal,SS,ECTOR,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,NA,NA,10874000,No
1994,262800,EL PASO NATURAL GAS COMPANY-KEYSTONE MAIN LINE STATION,NA,NA,Groundwater,Industrial,SS,WINKLER,DOCKUM AQUIFER,NA,NA,486210,No,No,10861362,No
1986,835560,ADM ALLIANCE NUTRITION INC-DIV  ARCHER DANIELS MIDLAND,NA,NA,Surface,Industrial,Pur,COKE,NA,OAK CREEK LAKE/RESERVOIR,CITY OF SWEETWATER,311223,No,No,10859000,No
1981,820160,CITY OF SPRINGLAKE,NA,NA,Groundwater,Municipal,SS,LAMB,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10858000,No
2010,573650,REGENCY ENERGY PARTNERS-WAHA PLANT,NA,NA,Groundwater,Industrial,SS,PECOS,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,486210,No,No,10856060,No
2005,186600,ALON USA,NA,NA,Groundwater,Industrial,SS,HOWARD,OGALLALA AQUIFER,NA,NA,324110,No,No,10855000,No
2016,568600,CITY OF MILES,31.5156472,-100.472225,Groundwater,Municipal,SS,TOM GREEN,LIPAN AQUIFER,NA,NA,NA,Yes,No,10855000,No
1991,220400,CITY OF DELL CITY,NA,NA,Groundwater,Municipal,SS,HUDSPETH,BONE SPRING-VICTORIO PEAK AQUIFER,NA,NA,NA,NA,NA,10849500,No
2016,10850,AIRLINE MHP,31.9516563,-102.1688004,Groundwater,Municipal,SS,MIDLAND,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,No,No,10848500,No
1999,535950,MAPLE WSC,NA,NA,Groundwater,Municipal,SS,BAILEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10829529,No
2007,186900,COTTON CENTER WSC,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10821400,No
2002,364500,HALFWAY WSC,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10820300,No
2018,10850,AIRLINE MHP,31.9516563,-102.1688004,Groundwater,Municipal,SS,MIDLAND,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,No,No,10819700,No
1989,364500,HALFWAY WSC,NA,NA,Groundwater,Municipal,SS,HALE,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10813600,No
1998,626709,TOWN OF OPDYKE WEST,NA,NA,Groundwater,Municipal,SS,HOCKLEY,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10811000,No
2009,512100,LOOP WSC,NA,NA,Groundwater,Municipal,SS,GAINES,OGALLALA AQUIFER,NA,NA,NA,NA,NA,10811000,No
2013,177980,SMITH MANAGEMENT SERVICES-TOWN VILLAGE NORTH AND SOUTH,33.7002106,-101.9953842,Groundwater,Municipal,SS,LUBBOCK,OGALLALA AQUIFER,NA,NA,NA,No,No,10798000,No
2014,886970,TARGA PIPLINE MID-CONTINENT WEST TEX LLC-BENEDUM PLANT,NA,NA,Groundwater,Industrial,Pur,REAGAN,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,ADAMS WATER,211130,No,No,10781705,Yes
2015,886970,TARGA PIPLINE MID-CONTINENT WEST TEX LLC-BENEDUM PLANT,NA,NA,Groundwater,Industrial,Pur,REAGAN,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,ADAMS WATER,211130,No,Yes,10781705,Yes
1985,384400,HERMLEIGH WATER SYSTEM,NA,NA,Groundwater,Municipal,SS,SCURRY,DOCKUM AQUIFER,NA,NA,NA,NA,NA,10780000,No
2012,24370,AMISTAD VILLAGE WATER SYSTEM,29.4605007,-101.0288086,Groundwater,Municipal,SS,VAL VERDE,EDWARDS-TRINITY-PLATEAU AQUIFER,NA,NA,NA,Yes,No,10773540,No
